patternId	monoisoMz	charge	rtStart	rtApex	rtEnd	fwhm	nScans	intensityApex	intensitySum
0	579.2678801982953	1	7.8322436	7.845040042613393	7.8641163	0.04297252183989997	6	20314.832864677053	86504.10448111407
0	580.2676084959916	1	7.8322436	7.837506048253239	7.8641163	0.03781116619865088	4	10565.309193129866	36409.52803070045
1	506.0868499203623	1	7.7946001	7.809766823204508	7.8800454	0.18801594848305925	15	12948.074334079018	196135.68562587939
1	507.08380915926034	1	7.77867835	7.7863289362897365	7.8747402	-0.006051192512220638	13	8713.266930347447	96334.66199576302
2	533.1899581487774	1	7.7946001	7.825217817245396	7.8747402	0.1906962164239232	15	84594.6328671265	1159673.781811616
2	534.190686405388	1	7.7946001	7.831063090703719	7.9238076	0.04531359742485819	24	39511.98187466398	874410.4650672432
3	495.8326000914665	1	7.7946001	7.822612439494466	7.9128504	-0.3001079104381006	22	50493.963733618395	874303.1513074165
3	496.83339436456725	1	7.80523445	7.834963877402109	7.8747402	0.07087137536624777	12	15753.779939318443	129150.8233068781
4	439.8427904620521	1	7.7946001	7.863440570444741	7.8854933	-0.17037122144937555	17	42201.430466252496	601662.7312313376
4	440.84351583076466	1	7.83752065	7.842674912395357	7.896459849999999	0.022927260465939625	10	24465.547177348017	114540.18353854654
5	499.7444161800937	2	7.7946001	7.799867140817737	7.891049499999999	-0.011529760571914238	17	28212.17691396203	398080.5021367538
5	500.24636245280425	2	7.81054275	7.827607658936067	7.8854933	0.15546086029620731	10	8717.854789437806	84994.53886191078
6	579.1042831504085	1	7.7946001	7.850545094539935	7.8854933	0.237339023720196	17	32184.967242229795	428208.02769090724
6	580.104789622009	1	7.7946001	7.808570431295362	7.918298249999999	0.1309543159676867	19	16876.92921837156	207828.40856277308
7	503.1064002510786	1	7.7946001	7.84607654065227	7.9402700500000005	0.1272321462794963	27	76548.85502993915	1661502.730826305
7	504.1070671022571	1	7.8322436	7.865217900016233	7.918298249999999	0.09301586976817333	16	29855.561643211997	449342.59663326055
7	505.1039361680228	1	7.858805950000001	7.873246758997631	7.896459849999999	0.040130671907999016	6	22182.149805014575	98450.18927654815
8	464.28398904731023	2	7.6312856	7.751658995468029	7.95052615	0.25715338634355067	59	175884.59038247596	6921900.202569129
8	464.78558802739434	2	7.6258794000000005	7.756976161621482	7.90189315	0.20986284861788995	51	89118.8193483116	2933489.726003694
9	889.2309875102268	1	7.8212958	7.842699100139784	7.918298249999999	0.13271331784177676	17	18405.930790395305	287757.47593801806
9	890.2316528127589	1	7.8481831	7.898594589570908	7.945686650000001	0.08144367967685717	17	20671.20370115827	211728.3256110952
9	891.2303359046765	1	7.896459849999999	7.9163851441664255	7.9402700500000005	0.07397794921956269	7	11284.543288415169	73997.48647282731
10	433.2473965770714	2	7.891049499999999	7.915077341461461	7.9347086000000004	0.13071109908442402	8	20273.730951384034	123917.10864382972
10	433.7491591945405	2	7.8747402	7.896138975182225	7.9238076	0.08929169518265656	8	11246.387147894235	65117.109955595675
11	463.1293998965918	1	7.84284565	7.861007152012599	7.9238076	0.13642010691281925	15	56127.83701171558	654559.1367798495
11	464.12892810105365	1	7.7999240499999996	7.822673445130493	7.9347086000000004	0.15116947648755108	20	16102.700487557167	218920.87736434652
12	506.0864632640845	1	7.8800454	7.894887062724948	7.9292180000000005	0.013617158194033863	8	21379.77419290237	112457.86950669096
12	507.0837642097806	1	7.8747402	7.920449164884082	7.945686650000001	0.16913507488422397	11	7370.462877203756	95465.73934912446
13	523.1331602535826	1	7.86943295	7.899764184398249	7.945686650000001	0.10608744487920774	14	65953.24527805105	781471.4952243736
13	524.1337832331706	1	7.891049499999999	7.904722733745099	7.9292180000000005	-0.048404554243781206	7	8863.955901948037	62741.17519165545
14	681.226589671952	1	7.90189315	7.925669215643548	7.9347086000000004	-0.04119537146955565	6	9257.910319249402	58454.79796253677
14	682.226635786507	1	7.90743795	7.91279197099577	7.9292180000000005	-0.48651234977086233	3	10501.661752812364	25842.72849260068
15	579.2664497210454	2	7.8641163	7.8988499026321275	7.9347086000000004	0.03893622377341277	11	35886.18225126229	197830.92843913348
15	579.7671961473952	2	7.896459849999999	7.9064604894358315	7.9292180000000005	0.10156249341038048	5	8218.883551122937	52148.31170691217
16	423.93959776681925	4	7.8747402	7.935149145946006	7.9549053	0.07115037489094167	15	56692.356868524235	526649.510824692
16	424.19016662646806	4	7.896459849999999	7.915995739268966	7.9347086000000004	-0.04914688424565394	6	45776.28494378706	209636.90805042337
