mz	mostAbundantMz	charge	rtStart	rtApex	rtEnd	fwhm	nIsotopes	nScans	averagineCorr	mass	massCalib	intensityApex	intensitySum
579.2678801982953	579.2678801982953	1	7.8322436	7.845040042613393	7.8641163	0.04297252183989997	2	6	0.9956086721990659	578.2596006798912	578.3168059811721	20314.832864677053	122913.63251181453
506.0868499203623	506.0868499203623	1	7.77867835	7.809766823204508	7.8800454	0.18801594848305925	2	15	0.9808431611730021	505.07752246248043	505.12232229779016	12948.074334079018	292470.3476216424
533.1899581487774	533.1899581487774	1	7.7946001	7.825217817245396	7.9238076	0.1906962164239232	2	24	0.9352268347369567	532.1817515087511	532.2346328886007	84594.6328671265	2034084.2468788591
495.8326000914665	495.8326000914665	1	7.7946001	7.822612439494466	7.9128504	-0.3001079104381006	2	22	0.9935269136021867	494.8250477513679	494.86531202394417	50493.963733618395	1003453.9746142946
439.8427904620521	439.8427904620521	1	7.7946001	7.863440570444741	7.896459849999999	-0.17037122144937555	2	17	0.9988562796792425	438.8351447409273	438.827065556735	42201.430466252496	716202.9147698842
499.7444161800937	499.7444161800937	2	7.7946001	7.799867140817737	7.891049499999999	-0.011529760571914238	2	17	0.9612931330498715	997.4744320594547	997.4879260727123	28212.17691396203	483075.04099866457
579.1042831504085	579.1042831504085	1	7.7946001	7.850545094539935	7.918298249999999	0.237339023720196	2	19	0.9891838002818585	578.0962491180494	578.1535068600039	32184.967242229795	636036.4362536804
503.1064002510786	503.1064002510786	1	7.7946001	7.84607654065227	7.9402700500000005	0.1272321462794963	3	27	0.9999411298740506	502.0983071325829	502.14193601800366	76548.85502993915	2209295.5167361135
464.28398904731023	464.28398904731023	2	7.6258794000000005	7.751658995468029	7.95052615	0.25715338634355067	2	59	0.9982403885822466	926.5535185176342	926.5725525039559	175884.59038247596	9855389.928572822
889.2309875102268	889.2309875102268	1	7.8212958	7.898594589570908	7.945686650000001	0.08144367967685717	3	17	0.980610501867407	888.2220599041927	888.2444940302714	20671.20370115827	573483.2880219405
433.2473965770714	433.2473965770714	2	7.8747402	7.915077341461461	7.9347086000000004	0.13071109908442402	2	8	0.9987091586406001	864.480467471486	864.5052867662487	20273.730951384034	189034.2185994254
463.1293998965918	463.1293998965918	1	7.7999240499999996	7.861007152012599	7.9347086000000004	0.13642010691281925	2	20	0.9973318621454316	462.1212888894312	462.1391305399715	56127.83701171558	873480.0141441961
506.0864632640845	506.0864632640845	1	7.8747402	7.894887062724948	7.945686650000001	0.013617158194033863	2	11	0.9033172394524177	505.0766171132487	505.12140681821325	21379.77419290237	207923.60885581543
523.1331602535826	523.1331602535826	1	7.86943295	7.899764184398249	7.945686650000001	0.10608744487920774	2	14	0.9818975310073813	522.1257513959814	522.1762313530116	65953.24527805105	844212.670416029
681.226589671952	681.226589671952	1	7.90189315	7.91279197099577	7.9347086000000004	-0.48651234977086233	2	6	0.9976570168969887	680.218384202265	680.2670591089218	10501.661752812364	84297.52645513746
579.2664497210454	579.2664497210454	2	7.8641163	7.8988499026321275	7.9347086000000004	0.03893622377341277	2	11	0.9566124395216735	1156.5181254198014	1156.5239540847924	35886.18225126229	249979.24014604566
423.93959776681925	423.93959776681925	4	7.8747402	7.935149145946006	7.9549053	0.07115037489094167	2	15	0.9345860181532829	1691.7290338959574	1691.7288619067594	56692.356868524235	736286.4188751153
449.11400379743156	449.11400379743156	1	7.7946001	7.849983023020535	7.9402700500000005	0.3851722976951528	2	26	0.9853554683971087	448.1065364347551	448.1100205458676	85493.96976143905	1860499.2818237746
499.7443653270125	499.7443653270125	2	7.891049499999999	7.90262996676364	7.9347086000000004	0.04910206839715947	2	8	0.996246770042933	997.4745273541581	997.4879527052088	19705.637646552343	143447.53182443493
473.25802235707783	473.25802235707783	2	7.918298249999999	7.92369398872476	7.95052615	0.008705250013868238	2	4	0.9561443823295278	944.5021817599605	944.5194708650035	21046.920200436816	100121.5364940839
409.1854651283289	409.1854651283289	4	7.918298249999999	7.945715519075265	7.95052615	-0.07868671418438566	2	5	0.9300832328281733	1632.7212910130693	1632.7209837020612	23955.956034336188	75859.56440079579
431.0851678400991	431.0851678400991	1	7.90189315	7.916519405969422	7.9549053	0.07077133698905236	2	10	0.9901569408207349	430.0777068410097	430.05699449369126	56176.62017460275	444499.06026968185
447.09877384679845	447.09877384679845	1	7.8800454	7.917175367524197	8.037112050000001	0.2035313996685595	3	30	0.9974742931958648	446.0906556008399	446.0917782865182	57300.67385308506	1844299.6638474956
579.7673234296813	579.7673234296813	3	7.918298249999999	7.933464807007421	7.9549053	0.04738977649661891	2	6	0.9970279084391683	1736.2851296421732	1736.284772959304	17249.581215473132	121369.219617539
525.9030493808775	525.9030493808775	3	7.891049499999999	7.9435483404359415	7.9680438	0.0505690686507938	2	11	0.997930521209693	1574.6867053539804	1574.6867079644278	44018.813146360844	404780.14715632016
413.538230065296	413.538230065296	3	7.858805950000001	7.925858405856522	8.021180900000001	0.10366822023415345	2	31	0.8723675528538437	1237.5929079175714	1237.5966299732413	56860.20871628952	1510038.867557866
462.145568780637	462.145568780637	1	7.7946001	7.881228758502889	7.99382275	0.28018910292355415	2	38	0.9978155725172932	461.137765640942	461.15475902533	143622.0604442757	6460977.72603906
487.24690434839977	487.24690434839977	2	7.77336905	7.89125325598218	7.9883811	0.1654693342048823	2	33	0.9999472553018823	972.4792892242376	972.4946014138549	74920.8712437277	2348802.582757404
467.8378965871563	467.8378965871563	1	7.9402700500000005	7.9565272839969605	7.98296345	0.04970121621447099	2	9	0.9915688825103149	466.8303263651487	466.85222926885115	22700.110177568844	171051.98741948945
464.12881874936875	464.12881874936875	1	7.9347086000000004	7.968054892075126	7.9883811	-0.12804639316994582	2	7	0.9170994191591908	463.1195522639001	463.1382434499348	14856.649263519095	135315.2856068755
537.1657103178094	537.1657103178094	1	7.90189315	7.937837617253453	8.0530255	0.17126212606260793	2	29	0.996445034998881	536.1575357720374	536.2111713491302	42974.991056172425	1190974.2935249382
651.1439306259974	651.1439306259974	1	7.8322436	7.914745003196877	8.0049154	0.12908361655767742	2	27	0.9984674290083129	650.1361789159168	650.1887079461695	32806.05036122678	846700.5099561947
424.1898100337785	424.1898100337785	4	7.9347086000000004	7.951679914886374	7.98296345	0.027989389389506236	2	9	0.8671626620995782	1692.7298297398445	1692.7295836706307	51039.14095608708	342427.65572852956
577.1252733994559	577.1252733994559	1	7.8854933	7.94978415954955	7.9883811	0.18042593816334573	3	16	0.9767600324123308	576.1168527479339	576.1740980505975	34104.68340095509	901254.0077823442
609.2067950611352	609.2067950611352	1	7.8641163	7.913355005378588	7.9993696	-0.16150450309769404	2	26	0.9965056679371318	608.1988234107266	608.2552212664183	35710.34197944257	1146008.086703882
420.31799072779427	420.31799072779427	1	7.7946001	7.923848218290615	7.98296345	0.3952469849938609	2	36	0.9926432891670336	419.31073973958746	419.27195270932043	211970.84365118615	8259923.783911973
610.1831349519246	610.1831349519246	1	7.8641163	7.8796266256817304	8.01046015	0.16913738178184445	2	28	0.9970134789917648	609.1754838741243	609.2318225357318	45579.16492390339	1214828.5938408207
